,User-ID,ISBN,Book-Rating
25979,6251,0385492081,0
26037,6251,0439064872,0
26046,6251,043935806X,9
26052,6251,0440206154,7
26053,6251,044021145X,0
26058,6251,0440221471,0
26059,6251,0440222656,7
26061,6251,0440224675,6
26063,6251,0440224764,0
26117,6251,0446672211,0
26123,6251,0449212602,0
26214,6251,0553572997,0
26233,6251,059035342X,0
26270,6251,0671001795,0
26272,6251,0671021001,0
26280,6251,0671510053,0
26322,6251,067976402X,8
26373,6251,0743418174,0
26407,6251,0786868716,0
26414,6251,080410526X,0
26416,6251,0804106304,0
26417,6251,080410753X,0
26419,6251,0804114986,0
26427,6251,0805063897,0
26517,6251,0971880107,0
26522,6251,1400034779,0
27406,6543,0060987103,10
27407,6543,0061009059,8
27444,6543,014028009X,0
27450,6543,0142000205,0
27454,6543,0142001740,9
27466,6543,0312195516,0
27471,6543,0312278586,0
27513,6543,0316666343,0
27523,6543,0345342968,8
27552,6543,0375725784,0
27577,6543,0385504209,0
27579,6543,0385722206,6
27617,6543,0446610038,9
27619,6543,0446611212,0
27692,6543,0671001795,0
27792,6543,0971880107,0
28143,6575,0060502258,8
28155,6575,0060928336,8
28161,6575,0060934417,9
28163,6575,0060938455,0
28171,6575,0060976845,0
28174,6575,0060987103,9
28176,6575,0061009059,0
28209,6575,014028009X,4
28213,6575,0140293248,8
28222,6575,0142001740,8
28253,6575,0312195516,8
28260,6575,0312278586,0
28276,6575,0312983271,0
28285,6575,0316569321,0
28286,6575,0316601950,0
28287,6575,0316666343,0
28289,6575,0316776963,8
28359,6575,0375700757,0
28367,6575,0375706771,7
28368,6575,0375707972,0
28374,6575,0375725784,7
28376,6575,0375727345,0
28390,6575,0380730138,0
28397,6575,0380789035,0
28410,6575,0385265700,0
28420,6575,0385335482,5
28426,6575,0385484518,6
28436,6575,0385504209,0
28437,6575,0385720106,7
28440,6575,0385722206,9
28476,6575,043935806X,0
28483,6575,0440213525,0
28484,6575,0440214041,0
28488,6575,0440222656,0
28489,6575,0440226430,0
28491,6575,0440236673,0
28509,6575,0446606812,2
28511,6575,0446612545,0
28513,6575,0446672211,8
28571,6575,0452282152,6
28573,6575,0452282829,0
28593,6575,0553268880,0
28596,6575,0553279912,7
28632,6575,0671001795,9
28633,6575,0671003755,0
28642,6575,0671510053,0
28663,6575,0679429220,6
28697,6575,0679746048,9
28707,6575,067976402X,7
28713,6575,0679781587,9
28732,6575,068484477X,0
28739,6575,0684874350,0
28757,6575,0743237188,0
28759,6575,0743418174,0
28796,6575,080410526X,5
28797,6575,0804106304,9
28798,6575,080410753X,8
28811,6575,0805063897,0
28882,6575,1400034779,9
30452,7158,0060976845,0
30461,7158,0142000205,9
30478,7158,0312305060,0
30485,7158,0316096199,0
30490,7158,0316666343,0
30497,7158,0345378490,0
30535,7158,0375707972,0
30538,7158,0380730138,0
30588,7158,0440226104,7
30600,7158,0446605239,10
30602,7158,0446608955,9
30606,7158,0446611212,0
30608,7158,0446612545,0
30610,7158,0446672211,8
30627,7158,0452282829,0
30676,7158,0671003755,0
30682,7158,0671510053,9
30705,7158,0679746048,0
30732,7158,0743418174,0
30796,7158,0971880107,0
31514,7346,0060928336,0
31515,7346,0060930535,0
31516,7346,0060934417,0
31526,7346,0060987103,7
31530,7346,0061009059,0
31531,7346,006101351X,0
31571,7346,0140293248,0
31615,7346,0312291639,0
31633,7346,0316096199,8
31636,7346,0316666343,0
31638,7346,0316769487,0
31673,7346,0345337662,0
31681,7346,0345361792,9
31684,7346,0345370775,8
31688,7346,0345380371,9
31691,7346,0345387651,0
31695,7346,0345391055,7
31699,7346,0345417623,0
31726,7346,0375700757,0
31730,7346,0375706771,0
31732,7346,0375726403,8
31734,7346,0375727345,0
31768,7346,0380789035,0
31785,7346,0385335482,0
31794,7346,0385492081,0
31875,7346,0440214041,0
31880,7346,0440221471,9
31881,7346,044022165X,0
31882,7346,0440222656,0
31886,7346,0440225701,10
31887,7346,0440234743,9
31890,7346,0440236673,8
31893,7346,0440241073,8
31941,7346,0446310786,0
31950,7346,0446364193,0
31961,7346,0446605239,0
31965,7346,0446611212,0
31966,7346,0446672211,0
32070,7346,0515131229,0
32136,7346,0553268880,0
32237,7346,0671001795,8
32264,7346,0671510053,0
32314,7346,067976402X,0
32327,7346,068484477X,0
32329,7346,0684872153,7
32342,7346,0743418174,0
32360,7346,0786868716,7
32372,7346,0804106304,9
32373,7346,080410753X,8
32375,7346,0804114986,0
32378,7346,0805063897,0
32459,7346,1558743669,0
36125,8681,0060928336,0
36128,8681,0060987103,0
36141,8681,014028009X,0
36149,8681,0142001740,9
36161,8681,0156027321,0
36177,8681,0312195516,8
36188,8681,0316666343,0
36214,8681,0375707972,0
36216,8681,0375727345,0
36270,8681,0440224675,0
36287,8681,0452282152,0
36312,8681,0553572997,7
36324,8681,0671027360,0
36431,8681,0971880107,0
43502,11601,0060938455,10
43649,11601,0312278586,0
43678,11601,0316569321,0
43679,11601,0316601950,0
43684,11601,0316769487,0
43709,11601,0345337662,0
43729,11601,0345380371,0
43788,11601,0375725784,0
43872,11601,0385484518,0
43875,11601,0385492081,0
44005,11601,0439064872,0
44021,11601,0440213525,0
44022,11601,0440214041,0
44027,11601,0440222656,0
44032,11601,0440224675,0
44036,11601,0440226104,0
44065,11601,0446310786,10
44090,11601,0446608955,0
44096,11601,0446611212,0
44128,11601,0449212602,0
44231,11601,0452282829,0
44276,11601,0515131229,0
44339,11601,0553279912,0
44372,11601,0553572997,0
44429,11601,0671001795,0
44443,11601,0671021001,0
44583,11601,0679429220,0
44613,11601,067976402X,0
44640,11601,068484477X,0
44653,11601,0684872153,0
44654,11601,0684874350,0
44686,11601,0743237188,0
44745,11601,080410526X,0
44748,11601,080410753X,0
44946,11601,1558743669,0
45615,11676,0060392452,0
45618,11676,0060502258,8
45706,11676,0060928336,0
45713,11676,0060930535,0
45725,11676,0060934417,0
45734,11676,0060938455,10
45744,11676,0060959037,0
45776,11676,0060976845,0
45788,11676,0060987103,9
45812,11676,0061009059,8
45825,11676,006101351X,8
46400,11676,014028009X,8
46427,11676,0140293248,5
46595,11676,0142000205,8
46602,11676,0142001740,0
46678,11676,0156027321,6
46899,11676,0312195516,10
46946,11676,0312278586,6
46957,11676,0312291639,9
46959,11676,0312305060,9
47133,11676,0312983271,0
47164,11676,0316096199,10
47193,11676,0316284955,0
47209,11676,0316569321,10
47213,11676,0316601950,0
47223,11676,0316666343,5
47244,11676,0316769487,0
47246,11676,0316776963,8
47529,11676,0345313860,8
47573,11676,0345337662,6
47577,11676,0345339681,0
47578,11676,0345339703,0
47582,11676,0345342968,0
47595,11676,0345351525,0
47598,11676,0345353145,0
47607,11676,0345361792,10
47619,11676,0345370775,8
47631,11676,0345378490,9
47634,11676,0345380371,0
47654,11676,0345387651,0
47659,11676,0345391055,9
47708,11676,0345417623,10
47778,11676,0345443284,0
48226,11676,0375700757,0
48257,11676,0375706771,6
48261,11676,0375707972,9
48273,11676,0375725784,0
48275,11676,0375726403,7
48278,11676,0375727345,7
48438,11676,0380730138,0
48447,11676,0380731851,6
48507,11676,0380789035,0
48670,11676,0385265700,7
48738,11676,0385335482,10
48780,11676,0385484518,9
48793,11676,0385492081,0
48823,11676,0385504209,9
48845,11676,0385720106,8
48858,11676,0385722206,9
49530,11676,0439064872,8
49579,11676,043935806X,0
49677,11676,0440206154,0
49697,11676,044021145X,1
49698,11676,0440211727,0
49709,11676,0440213525,5
49712,11676,0440214041,0
49747,11676,0440220602,0
49754,11676,0440221471,9
49756,11676,044022165X,0
49760,11676,0440222656,1
49772,11676,0440224675,8
49775,11676,0440224764,0
49786,11676,0440225701,8
49791,11676,0440226104,7
49794,11676,0440226430,7
49806,11676,0440234743,9
49816,11676,0440236673,8
49827,11676,044023722X,8
49833,11676,0440241073,8
50007,11676,0446310786,0
50062,11676,0446364193,8
50090,11676,044651652X,8
50184,11676,0446605239,6
50197,11676,0446606812,0
50220,11676,0446608955,7
50228,11676,0446610038,10
50239,11676,0446611212,6
50257,11676,0446612545,6
50281,11676,0446672211,10
50421,11676,0449212602,10
50913,11676,0452282152,0
50916,11676,0452282829,10
51102,11676,0515131229,0
51542,11676,0553268880,10
51593,11676,0553279912,0
51759,11676,0553572997,7
52007,11676,059035342X,10
52332,11676,0671001795,10
52342,11676,0671003755,1
52398,11676,0671021001,0
52424,11676,0671027360,0
52519,11676,0671510053,9
52882,11676,0679429220,0
53009,11676,067976402X,10
53023,11676,0679781587,0
53134,11676,068484477X,4
53187,11676,0684872153,9
53194,11676,0684874350,7
53547,11676,0743237188,6
53600,11676,0743418174,8
54158,11676,0786868716,9
54284,11676,080410526X,6
54287,11676,0804106304,0
54291,11676,080410753X,8
54314,11676,0804114986,8
54361,11676,0805063897,0
54739,11676,0842329129,9
55317,11676,0971880107,6
55357,11676,1400034779,0
55597,11676,1558743669,0
59597,11993,0060928336,0
59633,11993,0142001740,0
59659,11993,0312291639,6
59699,11993,0440206154,0
59705,11993,0440211727,0
59706,11993,0440213525,6
59707,11993,0440214041,7
59708,11993,044022165X,0
59751,11993,059035342X,0
59793,11993,0743418174,0
59832,11993,080410526X,0
59833,11993,0804106304,0
59834,11993,0804114986,0
59959,11993,0971880107,2
61022,12538,0060502258,0
61114,12538,0312195516,9
61139,12538,0312983271,0
61140,12538,0316096199,8
61143,12538,0316666343,0
61174,12538,0345313860,0
61192,12538,0345337662,0
61204,12538,0345351525,0
61205,12538,0345353145,0
61222,12538,0345391055,0
61270,12538,0375727345,0
61449,12538,044021145X,0
61450,12538,0440211727,0
61461,12538,0440220602,0
61462,12538,044022165X,0
61463,12538,0440222656,0
61466,12538,0440225701,0
61524,12538,0446310786,0
61595,12538,0449212602,0
61822,12538,0553268880,0
61919,12538,0671021001,9
62043,12538,0679746048,8
62126,12538,080410526X,0
62312,12538,1558743669,0
64860,13273,0060930535,9
64865,13273,0060976845,0
64866,13273,0061009059,0
64905,13273,0312983271,7
64907,13273,0316096199,0
64908,13273,0316601950,9
64909,13273,0316666343,8
64923,13273,0345361792,0
64932,13273,0345443284,0
64952,13273,0375706771,0
64953,13273,0375707972,0
64958,13273,0375727345,0
64976,13273,0385484518,0
64985,13273,0385504209,9
65025,13273,044021145X,0
65028,13273,0440220602,0
65029,13273,0440226104,0
65042,13273,0446672211,9
65063,13273,0452282152,0
65064,13273,0452282829,0
65113,13273,0671003755,0
65117,13273,0671027360,8
65138,13273,0679746048,0
65140,13273,067976402X,0
65142,13273,0679781587,0
65152,13273,068484477X,0
65220,13273,080410526X,0
65229,13273,0805063897,0
65282,13273,1400034779,0
65805,13552,0060928336,0
65809,13552,0060976845,0
65814,13552,0061009059,0
65830,13552,0156027321,0
65850,13552,0316096199,0
65852,13552,0316284955,0
65853,13552,0316569321,0
65854,13552,0316601950,0
65857,13552,0345339703,0
65862,13552,0345370775,0
65863,13552,0345378490,0
65866,13552,0345387651,0
65867,13552,0345391055,0
65988,13552,0385335482,0
65996,13552,0385484518,10
66001,13552,0385504209,10
66069,13552,044021145X,0
66071,13552,0440211727,9
66073,13552,0440213525,0
66074,13552,0440214041,9
66077,13552,0440220602,7
66078,13552,0440221471,8
66080,13552,044022165X,8
66081,13552,0440222656,0
66087,13552,0440224764,9
66093,13552,0440225701,0
66094,13552,0440226430,0
66096,13552,0440234743,8
66100,13552,044023722X,0
66125,13552,044651652X,8
66138,13552,0446606812,0
66155,13552,0449212602,0
66291,13552,0671001795,0
66292,13552,0671003755,0
66299,13552,0671027360,0
66308,13552,0671510053,0
66354,13552,068484477X,0
66371,13552,0743237188,0
66379,13552,0743418174,10
66405,13552,0786868716,9
66412,13552,080410526X,0
68751,14422,0060928336,9
68755,14422,0060976845,9
68757,14422,0060987103,0
68779,14422,0142000205,0
68784,14422,0156027321,0
68804,14422,0316601950,9
68813,14422,0345361792,0
68814,14422,0345380371,8
68832,14422,0375725784,0
68833,14422,0375727345,8
68843,14422,0380730138,0
68871,14422,0385265700,0
68881,14422,0385722206,0
68904,14422,0440211727,0
68912,14422,0440222656,0
68913,14422,0440224764,0
68914,14422,0440226430,0
68928,14422,044651652X,7
68934,14422,0446605239,0
68939,14422,0446672211,0
68945,14422,0449212602,0
68978,14422,0452282829,4
69002,14422,0553279912,0
69041,14422,0671027360,0
69046,14422,0671510053,0
69085,14422,067976402X,0
69086,14422,0679781587,0
69090,14422,068484477X,0
69104,14422,0743237188,0
69108,14422,0743418174,9
69147,14422,1400034779,9
69567,14521,0061009059,0
69570,14521,006101351X,5
69631,14521,0345337662,0
69632,14521,0345342968,0
69636,14521,0345370775,10
69637,14521,0345378490,0
69640,14521,0345391055,0
69689,14521,0385492081,0
69690,14521,0385504209,10
69763,14521,044021145X,0
69764,14521,0440211727,0
69767,14521,0440213525,5
69768,14521,0440214041,0
69770,14521,0440221471,0
69771,14521,044022165X,0
69772,14521,0440222656,10
69775,14521,0440224675,0
69776,14521,0440224764,0
69777,14521,0440226430,0
69778,14521,0440234743,0
69785,14521,044023722X,0
69808,14521,0446364193,0
69825,14521,0446605239,0
69827,14521,0446606812,0
69830,14521,0446610038,0
69936,14521,0553268880,0
69966,14521,0553572997,0
69989,14521,0671021001,0
70049,14521,0684872153,0
70062,14521,0805063897,0
70083,14521,1400034779,0
71863,15408,0060392452,0
71869,15408,0060928336,0
71875,15408,0060959037,0
71880,15408,006101351X,9
71933,15408,0142000205,0
71995,15408,0345339681,0
71996,15408,0345342968,0
72001,15408,0345387651,0
72035,15408,0375727345,0
72066,15408,0385722206,0
72120,15408,0439064872,0
72131,15408,0440213525,0
72133,15408,0440220602,0
72136,15408,044022165X,0
72138,15408,0440224675,0
72142,15408,0440241073,0
72159,15408,044651652X,0
72167,15408,0446611212,0
72168,15408,0446672211,0
72176,15408,0449212602,0
72211,15408,0452282152,0
72297,15408,0671001795,0
72343,15408,0679429220,0
72367,15408,0679781587,0
72458,15408,080410526X,0
72459,15408,0804106304,0
72460,15408,080410753X,0
72465,15408,0804114986,0
76401,16634,0060392452,8
76409,16634,0060928336,0
76410,16634,0060930535,0
76464,16634,0142000205,0
76490,16634,0312195516,0
76516,16634,0316284955,8
76522,16634,0316569321,0
76534,16634,0345313860,10
76553,16634,0345378490,0
76556,16634,0345380371,0
76570,16634,0345443284,0
76592,16634,0375725784,3
76593,16634,0375727345,0
76616,16634,0380730138,0
76617,16634,0380731851,0
76631,16634,0380789035,0
76688,16634,0385720106,0
76777,16634,0440213525,7
76778,16634,0440214041,0
76782,16634,0440226430,0
76838,16634,0446310786,0
76906,16634,0449212602,8
77055,16634,0553268880,0
77061,16634,0553279912,0
77192,16634,067976402X,8
77282,16634,080410526X,0
77286,16634,0804114986,0
77338,16634,0842329129,0
77432,16634,0971880107,0
78061,16795,0060502258,0
78071,16795,0060928336,0
78074,16795,0060930535,4
78075,16795,0060934417,0
78080,16795,0060976845,7
78087,16795,0061009059,9
78229,16795,0142000205,9
78232,16795,0142001740,10
78381,16795,0312195516,9
78393,16795,0312291639,9
78394,16795,0312305060,8
78464,16795,0312983271,0
78474,16795,0316096199,0
78481,16795,0316569321,9
78483,16795,0316601950,0
78485,16795,0316666343,10
78491,16795,0316769487,8
78492,16795,0316776963,0
78510,16795,0345339703,8
78512,16795,0345342968,8
78513,16795,0345353145,0
78519,16795,0345361792,0
78526,16795,0345370775,0
78534,16795,0345378490,7
78535,16795,0345380371,0
78545,16795,0345387651,5
78562,16795,0345417623,5
78579,16795,0345443284,0
78832,16795,0375706771,7
78833,16795,0375707972,5
78835,16795,0375725784,0
78836,16795,0375726403,4
78837,16795,0375727345,9
78879,16795,0380730138,8
78950,16795,0385265700,0
78974,16795,0385335482,0
78983,16795,0385484518,0
78987,16795,0385492081,5
78991,16795,0385504209,10
78994,16795,0385720106,9
79199,16795,044021145X,0
79200,16795,0440211727,0
79204,16795,0440213525,5
79206,16795,0440214041,6
79216,16795,0440220602,0
79219,16795,0440221471,0
79221,16795,044022165X,5
79224,16795,0440222656,9
79228,16795,0440224675,5
79229,16795,0440224764,0
79238,16795,0440225701,0
79239,16795,0440226104,5
79242,16795,0440226430,9
79245,16795,0440234743,0
79259,16795,044023722X,0
79311,16795,0446364193,8
79322,16795,044651652X,9
79360,16795,0446605239,10
79371,16795,0446606812,0
79383,16795,0446608955,8
79387,16795,0446610038,9
79398,16795,0446612545,0
79405,16795,0446672211,8
79570,16795,0452282152,0
79571,16795,0452282829,0
79645,16795,0515131229,0
79715,16795,0553268880,5
79798,16795,0553572997,0
79958,16795,0671001795,7
79986,16795,0671021001,10
79998,16795,0671027360,0
80030,16795,0671510053,5
80143,16795,0679429220,0
80163,16795,0679746048,9
80165,16795,067976402X,0
80202,16795,068484477X,7
80213,16795,0684874350,7
80330,16795,0743237188,9
80345,16795,0743418174,9
80439,16795,0786868716,8
80481,16795,080410526X,0
80482,16795,0804106304,0
80611,16795,0842329129,9
80759,16795,0971880107,0
80843,16795,1558743669,10
81231,16916,0060987103,0
81277,16916,0316284955,0
81283,16916,0345370775,0
81384,16916,0440206154,0
81389,16916,0440211727,0
81393,16916,0440213525,0
81394,16916,0440214041,10
81397,16916,0440220602,0
81401,16916,0440222656,7
81534,16916,0671021001,0
81582,16916,068484477X,0
81630,16916,0842329129,10
81962,16966,0316096199,0
81970,16966,0345353145,0
81973,16966,0345378490,0
82148,16966,044021145X,0
82149,16966,0440214041,0
82190,16966,0446606812,0
82309,16966,0671001795,0
82347,16966,067976402X,0
84579,17950,0060928336,0
84581,17950,0060930535,0
84582,17950,0060976845,0
84586,17950,006101351X,0
84615,17950,0140293248,0
84645,17950,0142001740,0
84660,17950,0316666343,0
84664,17950,0316769487,9
84669,17950,0345361792,0
84672,17950,0345443284,4
84684,17950,0375727345,0
84686,17950,0380730138,3
84692,17950,0385265700,0
84713,17950,0385484518,8
84720,17950,0385720106,0
84741,17950,0440206154,0
84742,17950,0440211727,5
84743,17950,0440213525,5
84744,17950,0440214041,0
84745,17950,0440226104,0
84750,17950,0446310786,8
84755,17950,044651652X,9
84763,17950,0446605239,6
84764,17950,0446606812,0
84765,17950,0446608955,10
84766,17950,0446672211,0
84783,17950,0452282829,5
84868,17950,0671021001,0
84874,17950,0671510053,0
84906,17950,067976402X,0
84908,17950,0679781587,9
84913,17950,068484477X,0
84916,17950,0684874350,8
84947,17950,080410753X,0
84963,17950,0971880107,0
84969,17950,1558743669,0
90246,20115,0316569321,0
90247,20115,0316601950,0
90254,20115,0345337662,0
90255,20115,0345351525,0
90280,20115,0385335482,0
90336,20115,0440222656,0
90349,20115,0446610038,0
90350,20115,0446672211,10
90369,20115,0449212602,0
90390,20115,0515131229,0
90517,20115,0679781587,0
93468,21014,0060392452,0
93478,21014,0060928336,8
93482,21014,0060930535,0
93485,21014,0060934417,0
93488,21014,0060959037,8
93494,21014,006101351X,0
93546,21014,014028009X,0
93549,21014,0140293248,8
93562,21014,0142001740,0
93583,21014,0312195516,9
93589,21014,0312278586,7
93591,21014,0312305060,8
93606,21014,0312983271,0
93611,21014,0316284955,7
93618,21014,0316569321,8
93621,21014,0316776963,0
93635,21014,0345313860,0
93636,21014,0345337662,0
93641,21014,0345370775,5
93647,21014,0345387651,8
93660,21014,0345443284,0
93680,21014,0375700757,8
93687,21014,0375706771,0
93688,21014,0375707972,4
93691,21014,0375725784,0
93693,21014,0375726403,8
93694,21014,0375727345,0
93718,21014,0380730138,0
93720,21014,0380731851,0
93724,21014,0380789035,0
93729,21014,0385265700,0
93740,21014,0385335482,0
93749,21014,0385484518,0
93751,21014,0385492081,0
93754,21014,0385504209,0
93757,21014,0385720106,0
93759,21014,0385722206,8
93806,21014,0439064872,9
93811,21014,043935806X,0
93815,21014,044021145X,0
93818,21014,0440213525,0
93819,21014,0440214041,0
93821,21014,0440220602,0
93825,21014,044022165X,0
93826,21014,0440222656,0
93830,21014,0440224675,0
93831,21014,0440224764,0
93833,21014,0440226104,0
93834,21014,0440226430,0
93839,21014,0440236673,0
93851,21014,0446310786,0
93865,21014,0446606812,0
93867,21014,0446610038,0
93870,21014,0446612545,0
93931,21014,0452282152,8
93948,21014,0515131229,0
93976,21014,0553268880,5
94009,21014,059035342X,0
94032,21014,0671001795,0
94033,21014,0671003755,0
94037,21014,0671027360,0
94047,21014,0671510053,8
94077,21014,0679746048,7
94083,21014,067976402X,7
94087,21014,0679781587,0
94097,21014,068484477X,0
94103,21014,0684872153,0
94122,21014,0743418174,0
94144,21014,0786868716,0
94153,21014,0804106304,0
94154,21014,080410753X,0
94174,21014,0842329129,0
101239,23768,0060392452,0
101259,23768,0060928336,0
101265,23768,0060934417,8
101266,23768,0060938455,0
101269,23768,0060959037,0
101274,23768,0060976845,0
101277,23768,0061009059,8
101346,23768,014028009X,0
101377,23768,0156027321,0
101424,23768,0312195516,0
101439,23768,0312278586,0
101443,23768,0312305060,0
101464,23768,0312983271,0
101476,23768,0316569321,0
101478,23768,0316601950,0
101480,23768,0316666343,7
101484,23768,0316769487,0
101486,23768,0316776963,0
101504,23768,0345337662,0
101505,23768,0345342968,0
101508,23768,0345351525,0
101511,23768,0345361792,0
101524,23768,0345387651,0
101616,23768,0375706771,0
101618,23768,0375707972,0
101620,23768,0375726403,0
101621,23768,0375727345,0
101649,23768,0380730138,0
101673,23768,0385265700,0
101696,23768,0385335482,0
101705,23768,0385484518,0
101714,23768,0385492081,0
101728,23768,0385720106,0
101735,23768,0385722206,0
101893,23768,044021145X,0
101894,23768,0440213525,0
101900,23768,0440220602,0
101903,23768,044022165X,0
101906,23768,0440224675,0
101910,23768,0440226430,0
101912,23768,0440234743,0
101914,23768,0440236673,0
101917,23768,044023722X,0
101919,23768,0440241073,0
101937,23768,0446310786,0
101945,23768,0446364193,0
101951,23768,044651652X,0
101983,23768,0446606812,0
101988,23768,0446610038,0
101995,23768,0446612545,0
101997,23768,0446672211,0
102087,23768,0452282829,0
102188,23768,0553279912,0
102220,23768,0553572997,0
102250,23768,059035342X,0
102312,23768,0671001795,0
102321,23768,0671021001,0
102349,23768,0671510053,0
102481,23768,068484477X,0
102501,23768,0684874350,0
102556,23768,0743237188,0
102563,23768,0743418174,7
102600,23768,0786868716,0
102622,23768,0804106304,0
102623,23768,080410753X,0
102652,23768,0805063897,5
102694,23768,0842329129,0
102765,23768,0971880107,0
103224,23872,0345313860,10
103225,23872,0345337662,9
103226,23872,0345339703,10
103227,23872,0345342968,9
103228,23872,0345361792,6
103305,23872,0440211727,9
103320,23872,0446606812,7
103391,23872,059035342X,0
103444,23872,068484477X,8
103606,23872,1558743669,8
103915,23902,014028009X,9
104190,23902,0345361792,10
104194,23902,0345370775,7
104196,23902,0345387651,9
104322,23902,044021145X,5
104330,23902,0440220602,5
104332,23902,044023722X,6
104336,23902,0446310786,7
104466,23902,0553279912,7
104959,23902,0971880107,0
107765,24921,0060928336,0
107785,24921,014028009X,0
107820,24921,0316776963,0
107826,24921,0345313860,0
107827,24921,0345337662,0
107829,24921,0345361792,0
107870,24921,0375706771,0
107871,24921,0375727345,0
107883,24921,0380731851,0
107894,24921,0385335482,0
107897,24921,0385504209,0
107969,24921,0440206154,0
107982,24921,0440224675,0
107988,24921,0440225701,9
107989,24921,0440226430,0
107993,24921,0440236673,0
108094,24921,0553268880,0
108154,24921,0671021001,8
108258,24921,0842329129,0
108278,24921,0971880107,0
109683,25409,0312291639,0
109778,25409,0385335482,9
109836,25409,043935806X,10
109954,25409,0743418174,10
109995,25409,0805063897,6
111736,25981,0060502258,0
111739,25981,0061009059,0
111756,25981,0142001740,0
111783,25981,0312278586,0
111784,25981,0312291639,0
111804,25981,0312983271,10
111815,25981,0345339703,5
111822,25981,0345380371,5
112006,25981,0439064872,0
112013,25981,043935806X,0
112023,25981,0440206154,0
112035,25981,0440236673,5
112058,25981,0446606812,5
112166,25981,059035342X,0
112190,25981,0671001795,0
112321,25981,080410526X,5
114027,26516,0786868716,0
114076,26516,1400034779,0
114281,26535,0316601950,0
114493,26535,0375700757,5
114555,26535,0385504209,0
114618,26535,0446605239,0
114822,26535,0684872153,0
115043,26544,0060502258,0
115060,26544,0060987103,0
115062,26544,0061009059,0
115139,26544,0312195516,9
115168,26544,0316284955,0
115192,26544,0345313860,0
115203,26544,0345337662,0
115204,26544,0345339681,0
115205,26544,0345339703,0
115211,26544,0345351525,0
115222,26544,0345387651,0
115236,26544,0345443284,5
115482,26544,0380730138,0
115516,26544,0385335482,0
115523,26544,0385720106,0
115642,26544,044021145X,0
115645,26544,0440211727,0
115646,26544,0440213525,0
115647,26544,0440214041,0
115654,26544,0440220602,0
115655,26544,0440221471,0
115656,26544,044022165X,0
115660,26544,0440224675,0
115661,26544,0440224764,0
115664,26544,0440225701,0
115665,26544,0440226104,0
115667,26544,0440234743,0
115676,26544,044023722X,0
115677,26544,0440241073,0
115707,26544,0446310786,0
115718,26544,0446364193,0
